Rank,Institution,All R&D expenditures,Computer and information sciences,"Geosciences, atmospheric sciences, and ocean sciences",Life sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Sciences nec,Engineering,All non-S&E fields,year,FundsSource,
294,San Francisco State U.,412000,0,0,2000,0,321000,0,0,0,89000,0,2017,DOD,
295,U. Maryland Center for Environmental Science,398000,0,254000,73000,0,0,0,0,0,71000,0,2017,DOD,
296,Idaho State U.,393000,0,0,15000,0,128000,0,0,0,250000,0,2017,DOD,
297,"CUNY, system office",366000,366000,0,0,0,0,0,0,0,0,0,2017,DOD,
298,Texas A&M U.-Corpus Christi,365000,0,75000,241000,0,45000,0,0,0,4000,0,2017,DOD,
299,Xavier U. Louisiana,358000,179000,0,9000,0,135000,0,0,0,35000,0,2017,DOD,
300,Albany Medical C.,353000,0,0,353000,0,0,0,0,0,0,0,2017,DOD,
301,Rush U.,348000,0,0,348000,0,0,0,0,0,0,0,2017,DOD,
302,"U. Tennessee, Chattanooga",343000,0,0,27000,0,13000,0,0,0,303000,0,2017,DOD,
303,Appalachian State U.,342000,0,0,0,0,342000,0,0,0,0,0,2017,DOD,
304,U. Denver,337000,0,0,91000,18000,210000,18000,0,0,0,0,2017,DOD,
305,"California State U., San Bernardino",332000,332000,0,0,0,0,0,0,0,0,0,2017,DOD,
305,Rowan U.,332000,0,0,23000,0,0,0,72000,0,237000,0,2017,DOD,
307,Canisius C.,330000,0,0,0,0,0,0,0,330000,0,0,2017,DOD,
308,"U. North Texas, Health Science Center",326000,0,0,326000,0,0,0,0,0,0,0,2017,DOD,
309,"Louisiana State U., Health Sciences Center – New Orleans",320000,0,0,320000,0,0,0,0,0,0,0,2017,DOD,
310,Geisinger Commonwealth School of Medicine,319000,0,0,319000,0,0,0,0,0,0,0,2017,DOD,
311,"U. Puerto Rico, Rio Piedras",318000,0,0,0,110000,208000,0,0,0,0,0,2017,DOD,
312,U. North Dakota,291000,0,224000,0,0,0,0,0,0,67000,0,2017,DOD,
313,"California State Polytechnic U., Pomona",288000,61000,227000,0,0,0,0,0,0,0,0,2017,DOD,
314,Albany State U.,283000,0,0,283000,0,0,0,0,0,0,0,2017,DOD,
315,Savannah State U.,281000,0,0,0,0,140000,0,0,0,141000,0,2017,DOD,
316,"Southern U. and A&M C., Baton Rouge",280000,0,0,0,0,155000,0,0,0,71000,54000,2017,DOD,
317,West Chester U. Pennsylvania,279000,0,0,187000,0,92000,0,0,0,0,0,2017,DOD,
318,Alcorn State U.,274000,0,0,98000,0,0,0,0,0,176000,0,2017,DOD,
318,Villanova U.,274000,0,0,0,0,0,0,0,0,274000,0,2017,DOD,
320,Bradley U.,272000,0,0,0,0,34000,0,0,0,238000,0,2017,DOD,
321,Ball State U.,270000,73000,0,197000,0,0,0,0,0,0,0,2017,DOD,
322,U. North Georgia,263000,0,0,0,0,16000,0,0,0,0,247000,2017,DOD,
323,Hult International Business School,262000,0,0,0,0,0,0,0,0,0,262000,2017,DOD,
324,Willamette U.,260000,0,0,0,0,0,0,0,0,0,260000,2017,DOD,
325,U. Northern Iowa,250000,0,0,0,0,250000,0,0,0,0,0,2017,DOD,
326,Western Washington U.,246000,88000,0,0,0,0,0,0,0,158000,0,2017,DOD,
327,"Arkansas State U., Jonesboro",234000,0,0,0,0,234000,0,0,0,0,0,2017,DOD,
328,U. Wisconsin-Green Bay,228000,18000,1000,8000,4000,16000,0,11000,0,164000,6000,2017,DOD,
329,Grambling State U.,222000,0,0,0,0,222000,0,0,0,0,0,2017,DOD,
330,Sam Houston State U.,220000,0,0,0,0,220000,0,0,0,0,0,2017,DOD,
331,Calvin C.,219000,0,0,0,49000,170000,0,0,0,0,0,2017,DOD,
331,South Dakota State U.,219000,0,0,35000,2000,181000,0,0,0,1000,0,2017,DOD,
333,"CUNY, Medgar Evers C.",216000,0,0,0,0,216000,0,0,0,0,0,2017,DOD,
334,Duquesne U.,211000,0,0,191000,0,10000,0,0,0,10000,0,2017,DOD,
335,Central Michigan U.,210000,0,0,0,0,210000,0,0,0,0,0,2017,DOD,
336,Alabama State U.,207000,0,0,207000,0,0,0,0,0,0,0,2017,DOD,
337,Massachusetts C. of Pharmacy and Health Sciences,203000,0,0,203000,0,0,0,0,0,0,0,2017,DOD,
337,"U. Puerto Rico, Medical Sciences Campus",203000,0,0,203000,0,0,0,0,0,0,0,2017,DOD,
339,U. New Haven,202000,0,0,0,0,0,0,0,0,202000,0,2017,DOD,
340,Langston U.,199000,0,0,0,0,0,0,0,0,199000,0,2017,DOD,
340,"U. Hawaii, Hilo",199000,0,0,149000,0,0,0,50000,0,0,0,2017,DOD,
342,Bowie State U.,196000,196000,0,0,0,0,0,0,0,0,0,2017,DOD,
343,Jacksonville State U.,182000,182000,0,0,0,0,0,0,0,0,0,2017,DOD,
344,"Indiana U.-Purdue U., Fort Wayne",178000,106000,0,72000,0,0,0,0,0,0,0,2017,DOD,
345,Smith C.,175000,52000,0,123000,0,0,0,0,0,0,0,2017,DOD,
346,Clark Atlanta U.,169000,0,0,19000,0,150000,0,0,0,0,0,2017,DOD,
346,U. Wisconsin-Oshkosh,169000,14000,9000,34000,2000,12000,2000,1000,1000,93000,1000,2017,DOD,
348,"U. North Carolina, general administration",161000,0,0,63000,0,0,0,0,20000,78000,0,2017,DOD,
349,Clark U.,158000,0,46000,0,0,0,102000,10000,0,0,0,2017,DOD,
350,"Purdue U., Northwest",151000,151000,0,0,0,0,0,0,0,0,0,2017,DOD,
351,Saginaw Valley State U.,148000,0,0,0,0,0,0,0,0,148000,0,2017,DOD,
352,"Texas Tech U., Health Sciences Center, El Paso",147000,0,0,147000,0,0,0,0,0,0,0,2017,DOD,
352,Yeshiva U.,147000,0,0,147000,0,0,0,0,0,0,0,2017,DOD,
354,"California State U., Long Beach",144000,0,0,0,0,0,0,0,0,144000,0,2017,DOD,
355,"Rutgers, State U. New Jersey, Camden",142000,142000,0,0,0,0,0,0,0,0,0,2017,DOD,
356,"Toyota Technological Institute, Chicago",141000,141000,0,0,0,0,0,0,0,0,0,2017,DOD,
357,Western U. of Health Sciences,138000,0,0,138000,0,0,0,0,0,0,0,2017,DOD,
358,Benedict C.,133000,0,0,0,0,133000,0,0,0,0,0,2017,DOD,
359,Long Island U.,125000,0,0,125000,0,0,0,0,0,0,0,2017,DOD,
360,Montclair State U.,124000,57000,0,0,23000,0,44000,0,0,0,0,2017,DOD,
361,"California State U., Los Angeles",122000,0,0,0,0,86000,0,0,0,36000,0,2017,DOD,
361,"California State U., Sacramento",122000,0,0,0,0,0,0,122000,0,0,0,2017,DOD,
363,"U. Washington, Bothell",120000,0,0,0,0,0,0,0,0,0,120000,2017,DOD,
364,U. Wisconsin-Platteville,119000,5000,0,4000,2000,7000,0,12000,0,69000,20000,2017,DOD,
365,Middle Tennessee State U.,118000,50000,0,0,0,68000,0,0,0,0,0,2017,DOD,
366,"CUNY, Baruch C.",115000,0,0,115000,0,0,0,0,0,0,0,2017,DOD,
366,U. North Florida,115000,0,0,0,0,0,0,0,0,115000,0,2017,DOD,
366,U. Richmond,115000,0,0,1000,114000,0,0,0,0,0,0,2017,DOD,
369,Miami U.,113000,0,0,73000,31000,0,0,0,0,9000,0,2017,DOD,
370,Eastern Washington U.,112000,0,0,112000,0,0,0,0,0,0,0,2017,DOD,
371,"U. Minnesota, Duluth",111000,0,0,0,91000,0,0,0,0,20000,0,2017,DOD,
372,Azusa Pacific U.,110000,0,0,0,0,0,110000,0,0,0,0,2017,DOD,
372,Coastal Carolina U.,110000,0,110000,0,0,0,0,0,0,0,0,2017,DOD,
374,Texas Southern U.,107000,0,0,0,0,107000,0,0,0,0,0,2017,DOD,
375,"U. Arkansas, Pine Bluff",106000,0,0,104000,0,2000,0,0,0,0,0,2017,DOD,
376,Eastern Virginia Medical School,100000,0,0,100000,0,0,0,0,0,0,0,2017,DOD,
376,Rosalind Franklin U. of Medicine and Science,100000,0,0,100000,0,0,0,0,0,0,0,2017,DOD,
376,"SUNY, C. Brockport",100000,0,0,100000,0,0,0,0,0,0,0,2017,DOD,
379,"U. Michigan, Dearborn",99000,0,0,0,0,0,0,0,0,99000,0,2017,DOD,
380,Illinois State U.,97000,0,0,0,14000,78000,0,0,0,0,5000,2017,DOD,
381,Tuskegee U.,96000,0,0,8000,0,0,0,0,0,88000,0,2017,DOD,
382,Georgia Southern U.,95000,0,0,0,0,0,0,0,38000,57000,0,2017,DOD,
383,"Southern Illinois U., Edwardsville",92000,0,0,0,0,92000,0,0,0,0,0,2017,DOD,
384,Biola U.,89000,11000,0,13000,3000,9000,1000,1000,0,51000,0,2017,DOD,
385,"Louisiana State U., Health Sciences Center - Shreveport",88000,0,0,88000,0,0,0,0,0,0,0,2017,DOD,
386,U. Wisconsin-Stevens Point,87000,13000,2000,28000,2000,13000,2000,1000,0,26000,0,2017,DOD,
387,Santa Clara U.,86000,0,0,0,0,0,0,86000,0,0,0,2017,DOD,
388,Northern Illinois U.,85000,0,0,0,0,0,5000,0,0,80000,0,2017,DOD,
389,Central State U.,81000,0,19000,0,0,0,0,0,0,62000,0,2017,DOD,
390,Fordham U.,80000,80000,0,0,0,0,0,0,0,0,0,2017,DOD,
391,"Columbia U., Teachers C.",73000,0,0,73000,0,0,0,0,0,0,0,2017,DOD,
392,U. San Diego,72000,0,0,12000,33000,6000,0,0,0,21000,0,2017,DOD,
393,James Madison U.,71000,0,0,0,0,63000,0,0,0,8000,0,2017,DOD,
394,U. Hartford,70000,0,0,0,0,0,0,0,0,70000,0,2017,DOD,
395,Colorado C.,68000,0,0,0,68000,0,0,0,0,0,0,2017,DOD,
396,Connecticut C.,67000,0,0,0,0,67000,0,0,0,0,0,2017,DOD,
397,C. New Jersey,66000,0,0,61000,0,0,0,0,0,5000,0,2017,DOD,
398,"Oklahoma State U., Center for Health Sciences",62000,0,0,0,0,0,0,0,0,62000,0,2017,DOD,
398,"U. Oklahoma, Tulsa",62000,0,0,0,0,0,0,62000,0,0,0,2017,DOD,
400,St. Olaf C.,61000,61000,0,0,0,0,0,0,0,0,0,2017,DOD,
401,U. Houston-Clear Lake,59000,59000,0,0,0,0,0,0,0,0,0,2017,DOD,
402,Eastern Michigan U.,58000,0,0,0,0,58000,0,0,0,0,0,2017,DOD,
403,Texas A&M U.-Kingsville,57000,0,0,0,0,57000,0,0,0,0,0,2017,DOD,
404,East Tennessee State U.,54000,0,0,0,54000,0,0,0,0,0,0,2017,DOD,
405,Winston-Salem State U.,53000,0,0,0,0,0,0,0,0,0,53000,2017,DOD,
406,Franklin W. Olin C. of Engineering,51000,0,0,0,0,0,0,0,0,51000,0,2017,DOD,
407,Eastern Kentucky U.,50000,0,0,50000,0,0,0,0,0,0,0,2017,DOD,
408,DePaul U.,48000,48000,0,0,0,0,0,0,0,0,0,2017,DOD,
408,Williams C.,48000,0,0,0,48000,0,0,0,0,0,0,2017,DOD,
410,"St. John's U., New York",46000,0,0,0,0,46000,0,0,0,0,0,2017,DOD,
411,Grand Valley State U.,45000,0,0,0,45000,0,0,0,0,0,0,2017,DOD,
411,Plymouth State U.,45000,0,45000,0,0,0,0,0,0,0,0,2017,DOD,
413,"Pennsylvania State U., Behrend",44000,2000,0,0,0,0,0,12000,0,18000,12000,2017,DOD,
414,Bucknell U.,42000,0,0,0,0,0,0,0,0,42000,0,2017,DOD,
415,Morehouse School of Medicine,39000,0,0,39000,0,0,0,0,0,0,0,2017,DOD,
416,Augsburg C.,33000,0,0,0,0,33000,0,0,0,0,0,2017,DOD,
417,Alaska Pacific U.,32000,0,0,32000,0,0,0,0,0,0,0,2017,DOD,
418,Edward Via C. of Osteopathic Medicine,29000,0,0,29000,0,0,0,0,0,0,0,2017,DOD,
419,U. Baltimore,28000,0,0,0,0,0,0,28000,0,0,0,2017,DOD,
420,Bowling Green State U.,27000,0,0,0,0,27000,0,0,0,0,0,2017,DOD,
420,Quinnipiac U.,27000,0,0,17000,1000,4000,0,0,2000,2000,1000,2017,DOD,
422,Morehouse C.,26000,0,0,0,0,0,0,0,26000,0,0,2017,DOD,
422,"SUNY, C. of Environmental Science and Forestry",26000,0,0,26000,0,0,0,0,0,0,0,2017,DOD,
422,U. Wisconsin-La Crosse,26000,0,0,0,0,0,0,26000,0,0,0,2017,DOD,
425,Colgate U.,23000,23000,0,0,0,0,0,0,0,0,0,2017,DOD,
426,Christopher Newport U.,22000,0,22000,0,0,0,0,0,0,0,0,2017,DOD,
427,East Carolina U.,21000,0,0,14000,0,2000,0,0,0,5000,0,2017,DOD,
427,Hawaii Pacific U.,21000,0,21000,0,0,0,0,0,0,0,0,2017,DOD,
429,U. Houston-Downtown,20000,20000,0,0,0,0,0,0,0,0,0,2017,DOD,
430,Northeast Ohio Medical U.,19000,0,0,19000,0,0,0,0,0,0,0,2017,DOD,
430,Texas Christian U.,19000,0,0,10000,0,9000,0,0,0,0,0,2017,DOD,
432,Claflin U.,17000,0,0,17000,0,0,0,0,0,0,0,2017,DOD,
433,Bowdoin C.,15000,0,0,0,0,0,0,15000,0,0,0,2017,DOD,
433,Kennesaw State U.,15000,0,0,0,0,15000,0,0,0,0,0,2017,DOD,
433,Lafayette C.,15000,15000,0,0,0,0,0,0,0,0,0,2017,DOD,
433,U. South Dakota,15000,0,0,3000,0,0,0,0,0,0,12000,2017,DOD,
433,William Paterson U.,15000,0,0,15000,0,0,0,0,0,0,0,2017,DOD,
438,C. Charleston,14000,0,0,14000,0,0,0,0,0,0,0,2017,DOD,
439,"U. Illinois, Springfield",13000,0,0,0,0,0,0,0,0,0,13000,2017,DOD,
440,Pace U.,12000,12000,0,0,0,0,0,0,0,0,0,2017,DOD,
440,"Pennsylvania State U., Harrisburg",12000,0,0,0,0,0,0,0,0,12000,0,2017,DOD,
442,Claremont McKenna C.,10000,0,0,0,10000,0,0,0,0,0,0,2017,DOD,
442,Drake U.,10000,0,0,0,10000,0,0,0,0,0,0,2017,DOD,
444,"CUNY, Lehman C.",9000,0,0,0,0,9000,0,0,0,0,0,2017,DOD,
444,Davidson C.,9000,0,0,9000,0,0,0,0,0,0,0,2017,DOD,
444,"U. Washington, Tacoma",9000,0,0,0,0,0,0,0,0,0,9000,2017,DOD,
447,"California State U., Chico",6000,0,0,6000,0,0,0,0,0,0,0,2017,DOD,
448,St. Cloud State U.,5000,0,0,0,0,5000,0,0,0,0,0,2017,DOD,
449,Florida Gulf Coast U.,4000,0,0,0,0,0,0,0,0,4000,0,2017,DOD,
449,Hope C.,4000,0,0,4000,0,0,0,0,0,0,0,2017,DOD,
451,C. of Saint Benedict,3000,0,0,0,0,3000,0,0,0,0,0,2017,DOD,
451,Saint Joseph's U.,3000,0,0,0,0,0,0,3000,0,0,0,2017,DOD,
451,Stephen F. Austin State U.,3000,3000,0,0,0,0,0,0,0,0,0,2017,DOD,
454,"California State U., Monterey Bay",2000,0,2000,0,0,0,0,0,0,0,0,2017,DOD,
455,Framingham State U.,1000,0,0,1000,0,0,0,0,0,0,0,2017,DOD,
-,All institutions,5900829000,712714000,218767000,1145539000,116451000,519821000,52061000,76137000,59320000,2937066000,62953000,2018,DOD,
1,Johns Hopkins U.,1108578000,121870000,7936000,48141000,55813000,111496000,479000,4254000,31805000,726784000,0,2018,DOD,
2,Georgia Institute of Technology,443399000,100410000,690000,383000,0,3973000,1210000,126000,0,336597000,10000,2018,DOD,
3,"Pennsylvania State U., University Park and Hershey Medical Center",268763000,41378000,5995000,3496000,10275000,13037000,389000,885000,0,190421000,2887000,2018,DOD,
4,Uniformed Services U. of the Health Sciences,189882000,0,0,182800000,0,0,7082000,0,0,0,0,2018,DOD,
5,"U. Texas, Austin",141803000,28826000,126000,6037000,652000,24242000,301000,141000,0,80981000,497000,2018,DOD,
6,Massachusetts Institute of Technology,127807000,13755000,2157000,6090000,1231000,6377000,264000,1344000,1071000,94722000,796000,2018,DOD,
7,U. Southern California,127457000,88211000,563000,10361000,0,3831000,414000,382000,0,22140000,1555000,2018,DOD,
8,Utah State U.,91207000,0,344000,236000,0,490000,20000,223000,0,89894000,0,2018,DOD,
9,"U. Washington, Seattle",89648000,2794000,19880000,31458000,1342000,2381000,234000,738000,0,30287000,534000,2018,DOD,
10,"Colorado State U., Fort Collins",79404000,883000,48086000,26416000,661000,597000,34000,541000,0,2074000,112000,2018,DOD,
11,"U. Michigan, Ann Arbor",78514000,169000,172000,16724000,673000,5894000,236000,3177000,0,51469000,0,2018,DOD,
12,"U. Maryland, College Park",71212000,11618000,176000,5000000,717000,17480000,1014000,7896000,41000,27174000,96000,2018,DOD,
13,Stanford U.,70691000,8195000,536000,18743000,551000,14071000,752000,1176000,0,26654000,13000,2018,DOD,
14,"U. California, San Diego",70315000,378000,33617000,12828000,55000,4388000,619000,2247000,0,16008000,175000,2018,DOD,
15,U. Dayton,68780000,1116000,0,128000,0,1010000,0,0,0,66352000,174000,2018,DOD,
16,Harvard U.,64559000,1778000,2003000,22972000,935000,13010000,0,2681000,0,21180000,0,2018,DOD,
17,Duke U.,63161000,673000,2247000,32688000,1173000,1098000,47000,904000,0,24218000,113000,2018,DOD,
18,Carnegie Mellon U.,60253000,37814000,0,0,130000,850000,1448000,2099000,940000,16972000,0,2018,DOD,
19,"U. Pittsburgh, Pittsburgh",50695000,295000,354000,36909000,102000,5484000,0,137000,1288000,6096000,30000,2018,DOD,
20,"U. California, Los Angeles",50200000,1731000,1159000,18303000,4799000,3939000,1142000,1007000,815000,16297000,1008000,2018,DOD,
21,Columbia U. in the City of New York,50007000,10893000,885000,15286000,1488000,3415000,0,768000,0,16372000,900000,2018,DOD,
22,U. Pennsylvania,48919000,8657000,125000,15191000,125000,1884000,4171000,6297000,0,11916000,553000,2018,DOD,
23,Virginia Polytechnic Institute and State U.,48716000,4390000,0,6229000,152000,2176000,0,1091000,50000,34582000,46000,2018,DOD,
24,"U. Illinois, Urbana-Champaign",47161000,4428000,256000,4311000,19000,5726000,363000,71000,0,31606000,381000,2018,DOD,
25,"Purdue U., West Lafayette",43516000,2818000,0,1716000,547000,3100000,133000,886000,0,32864000,1452000,2018,DOD,
26,Northwestern U.,42721000,44000,0,10563000,0,15481000,610000,0,1702000,13197000,1124000,2018,DOD,
27,Naval Postgraduate School,40767000,3819000,4540000,1244000,2166000,4457000,0,2688000,2204000,16660000,2989000,2018,DOD,
28,"U. Alabama, Huntsville",40095000,20153000,110000,0,14000,607000,0,2360000,0,16768000,83000,2018,DOD,
29,"U. California, Berkeley",37812000,11000,105000,5357000,403000,6878000,234000,149000,1784000,22652000,239000,2018,DOD,
30,Ohio State U.,34580000,1344000,565000,6909000,546000,4603000,599000,94000,58000,19144000,718000,2018,DOD,
31,Cornell U.,34440000,3788000,45000,9021000,25000,6855000,617000,919000,0,13170000,0,2018,DOD,
32,U. Central Florida,33741000,14641000,0,665000,7000,12500000,549000,88000,0,4928000,363000,2018,DOD,
33,California Institute of Technology,33617000,9097000,137000,2292000,0,11620000,0,0,0,10330000,141000,2018,DOD,
34,Vanderbilt U. and Vanderbilt U. Medical Center,32871000,0,529000,18228000,0,544000,0,0,0,13570000,0,2018,DOD,
35,North Carolina State U.,32831000,1422000,519000,3408000,2162000,1276000,23000,62000,8608000,15115000,236000,2018,DOD,
36,U. Colorado Boulder,32749000,3259000,1962000,2846000,452000,8838000,608000,0,29000,14708000,47000,2018,DOD,
37,"SUNY, Polytechnic Institute",32722000,0,0,0,0,0,0,0,0,32722000,0,2018,DOD,
38,U. Wisconsin-Madison,32200000,2785000,1287000,9889000,174000,6654000,219000,500000,590000,9876000,226000,2018,DOD,
39,Wright State U.,31867000,331000,37000,2178000,56000,834000,1128000,0,0,27303000,0,2018,DOD,
40,Woods Hole Oceanographic Institution,30889000,0,13212000,0,0,0,0,0,0,17677000,0,2018,DOD,
41,"U. Hawaii, Manoa",30757000,7925000,5510000,2090000,35000,3245000,0,0,12000,11919000,21000,2018,DOD,
42,"U. California, Santa Barbara",30750000,3244000,434000,1461000,0,5130000,115000,0,0,19439000,927000,2018,DOD,
43,Yale U.,30187000,1487000,77000,10674000,173000,9829000,405000,375000,0,7052000,115000,2018,DOD,
44,"SUNY, U. Buffalo",29909000,22000,116000,3635000,5000,1030000,0,0,0,25101000,0,2018,DOD,
45,"U. Minnesota, Twin Cities",28046000,758000,0,10365000,1549000,1757000,68000,18000,0,12060000,1471000,2018,DOD,
46,U.S. Air Force Academy,27263000,653000,0,0,0,130000,0,127000,0,26126000,227000,2018,DOD,
47,Princeton U.,26663000,1585000,222000,2170000,823000,5169000,22000,249000,0,16340000,83000,2018,DOD,
48,U. Utah,26381000,5950000,243000,8243000,12000,3407000,1980000,570000,0,5957000,19000,2018,DOD,
49,"U. Alabama, Birmingham",26029000,0,0,9488000,0,1570000,560000,0,0,14411000,0,2018,DOD,
50,"U. Virginia, Charlottesville",26008000,4299000,273000,3920000,0,3264000,657000,27000,0,13561000,7000,2018,DOD,
51,"U. California, San Francisco",25955000,0,0,23872000,0,2083000,0,0,0,0,0,2018,DOD,
52,Arizona State U.,25688000,3415000,32000,4115000,412000,1839000,848000,394000,1764000,11599000,1270000,2018,DOD,
53,"Texas A&M U., College Station and Health Science Center",25235000,2781000,312000,8738000,822000,1831000,169000,437000,114000,9404000,627000,2018,DOD,
54,U. Arizona,25019000,1633000,280000,8959000,54000,1782000,388000,629000,0,10858000,436000,2018,DOD,
55,George Mason U.,24762000,11783000,421000,2899000,392000,2296000,594000,505000,0,5822000,50000,2018,DOD,
56,U. Florida,24458000,1209000,7000,9244000,214000,736000,393000,407000,0,12116000,132000,2018,DOD,
57,Northeastern U.,24095000,5407000,50000,676000,0,1277000,653000,954000,0,14396000,682000,2018,DOD,
58,Wake Forest U.,24015000,46000,0,23801000,0,168000,0,0,0,0,0,2018,DOD,
59,New York U.,23003000,3099000,0,12385000,1906000,1084000,1556000,0,0,2415000,558000,2018,DOD,
60,Air Force Institute of Technology,22373000,908000,1534000,0,551000,3936000,0,0,0,15444000,0,2018,DOD,
61,Brown U.,21924000,3950000,41000,2257000,1777000,1588000,17000,191000,56000,12047000,0,2018,DOD,
62,New Jersey Institute of Technology,21609000,2970000,0,156000,188000,812000,0,0,0,15987000,1496000,2018,DOD,
63,Mississippi State U.,20362000,854000,0,82000,0,1790000,144000,0,768000,16724000,0,2018,DOD,
64,U. Notre Dame,20296000,1381000,0,659000,470000,507000,122000,20000,299000,16838000,0,2018,DOD,
65,U. Chicago,19747000,638000,0,4202000,378000,8643000,434000,1376000,0,4076000,0,2018,DOD,
66,Boston U.,19041000,174000,98000,8006000,330000,1552000,224000,3000,0,7758000,896000,2018,DOD,
67,"U. California, Irvine",18478000,2716000,0,8226000,253000,1156000,0,21000,0,6106000,0,2018,DOD,
68,New Mexico State U.,18222000,20000,97000,3023000,0,9939000,0,0,0,5143000,0,2018,DOD,
69,"Montana State U., Bozeman",18126000,387000,0,525000,115000,1265000,0,0,0,9848000,5986000,2018,DOD,
70,Florida State U.,17920000,801000,1163000,158000,271000,497000,2357000,0,0,12673000,0,2018,DOD,
71,"Rutgers, State U. New Jersey, New Brunswick",17830000,0,279000,5299000,1929000,2000000,0,198000,0,7939000,186000,2018,DOD,
72,U. New Mexico,17436000,623000,0,2210000,0,2304000,877000,356000,0,10744000,322000,2018,DOD,
73,"U. Maryland, Baltimore",17407000,0,75000,17153000,0,0,0,0,0,179000,0,2018,DOD,
74,Oregon State U.,17329000,3001000,5195000,2627000,264000,405000,5000,0,123000,4759000,950000,2018,DOD,
75,Mercer U.,17028000,0,0,66000,0,0,0,0,0,16962000,0,2018,DOD,
76,Temple U.,16992000,174000,0,6563000,0,4358000,0,62000,0,945000,4890000,2018,DOD,
77,U. Delaware,16972000,308000,928000,2183000,628000,3405000,0,0,0,9483000,37000,2018,DOD,
78,Case Western Reserve U.,16585000,0,0,7147000,0,545000,0,61000,1000,8714000,117000,2018,DOD,
79,Rice U.,15830000,4765000,0,887000,110000,2074000,154000,0,0,7840000,0,2018,DOD,
80,"U. Massachusetts, Amherst",15381000,5325000,0,1522000,174000,1598000,23000,17000,0,6722000,0,2018,DOD,
81,U. Miami,15186000,0,5149000,8251000,0,266000,479000,0,0,1041000,0,2018,DOD,
82,"Washington U., Saint Louis",14766000,810000,0,10326000,0,1171000,195000,0,0,2250000,14000,2018,DOD,
83,"U. California, Davis",14124000,1732000,58000,4749000,329000,1501000,0,590000,0,5010000,155000,2018,DOD,
84,"Indiana U., Bloomington",14070000,1295000,129000,11242000,41000,299000,580000,379000,83000,0,22000,2018,DOD,
85,Stevens Institute of Technology,14017000,901000,2674000,0,0,862000,0,0,0,9145000,435000,2018,DOD,
86,"U. North Carolina, Chapel Hill",13820000,1851000,944000,8584000,396000,1181000,0,333000,0,436000,95000,2018,DOD,
87,Virginia Commonwealth U.,13789000,205000,74000,12480000,20000,85000,0,0,0,925000,0,2018,DOD,
88,Emory U.,13709000,0,70000,12205000,210000,954000,207000,0,0,63000,0,2018,DOD,
89,U.S. Military Academy,13393000,1600000,245000,720000,400000,120000,70000,138000,0,3020000,7080000,2018,DOD,
90,Oregon Health and Science U.,13348000,0,0,12570000,0,0,0,0,0,778000,0,2018,DOD,
91,U. Iowa,12852000,539000,0,4054000,52000,1669000,0,81000,0,6330000,127000,2018,DOD,
92,Baylor C. of Medicine,12243000,0,0,12243000,0,0,0,0,0,0,0,2018,DOD,
93,U. Colorado Denver and Anschutz Medical Campus,11857000,0,0,11040000,2000,0,0,0,0,472000,343000,2018,DOD,
94,Iowa State U.,11716000,1433000,0,2402000,0,1853000,32000,0,0,5938000,58000,2018,DOD,
95,Michigan State U.,11691000,2381000,34000,2603000,739000,805000,385000,0,34000,4532000,178000,2018,DOD,
96,Tufts U.,11671000,2156000,0,2784000,255000,2414000,256000,0,24000,3782000,0,2018,DOD,
97,U.S. Naval Academy,11546000,1277000,844000,0,593000,1479000,0,45000,0,7308000,0,2018,DOD,
98,Michigan Technological U.,11391000,195000,558000,0,10000,146000,0,0,0,10372000,110000,2018,DOD,
99,U. Southern Mississippi,11075000,2977000,1076000,113000,0,5400000,0,1440000,0,5000,64000,2018,DOD,
100,"U. Nebraska, central administration",11031000,796000,0,6795000,0,0,0,63000,0,2738000,639000,2018,DOD,
101,"U. Hawaii, system office",10848000,0,10848000,0,0,0,0,0,0,0,0,2018,DOD,
102,"U. Tennessee, Knoxville",10756000,84000,163000,214000,148000,444000,0,304000,651000,8715000,33000,2018,DOD,
103,U. Cincinnati,10159000,64000,75000,7269000,186000,202000,0,41000,0,1786000,536000,2018,DOD,
104,Rensselaer Polytechnic Institute,9939000,1992000,4000,0,451000,719000,1960000,0,0,4189000,624000,2018,DOD,
105,"U. Texas, Dallas",9784000,1665000,0,1282000,0,1907000,0,86000,0,4844000,0,2018,DOD,
106,"U. Massachusetts, Lowell",9738000,475000,245000,108000,0,4583000,0,56000,0,4071000,200000,2018,DOD,
107,Georgetown U.,9585000,533000,0,8341000,0,412000,0,270000,0,0,29000,2018,DOD,
108,"U. Texas, Arlington",9469000,228000,148000,33000,0,1674000,0,0,0,7282000,104000,2018,DOD,
109,"U. Texas Health Science Center, San Antonio",9436000,0,0,9436000,0,0,0,0,0,0,0,2018,DOD,
110,Drexel U.,9173000,532000,0,1789000,0,230000,0,0,0,6622000,0,2018,DOD,
111,U. Connecticut,8617000,632000,219000,1303000,66000,1004000,0,0,0,5393000,0,2018,DOD,
112,"U. Missouri, Columbia",8582000,55000,75000,1726000,49000,2161000,428000,0,0,4035000,53000,2018,DOD,
113,U. Rochester,8509000,642000,0,3600000,59000,3184000,2000,0,0,1022000,0,2018,DOD,
114,Washington State U.,8428000,369000,297000,2161000,198000,3740000,189000,174000,0,1300000,0,2018,DOD,
115,George Washington U.,8232000,481000,0,423000,50000,104000,194000,1350000,2907000,2631000,92000,2018,DOD,
