Rank,Institution,All R&D expenditures,Computer and information sciences,"Geosciences, atmospheric sciences, and ocean sciences",Life sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Sciences nec,Engineering,All non-S&E fields,FundsSource,State,system,HBC,HHE,year
419,"U. Hawaii, Hilo",129000,0,0,127000,0,0,0,1000,0,0,1000,StateLocalGov,Hawaii,Public (U. Hawaii System),No,No,2017
388,U. New England,7000,0,0,7000,0,0,0,0,0,0,0,AllOther,Maine,Private,No,No,2017
354,U. New England,164000,0,0,164000,0,0,0,0,0,0,0,Business,Maine,Private,No,No,2017
309,U. New England,5918000,0,1233000,4685000,0,0,0,0,0,0,0,FedGovFunds,Maine,Private,No,No,2017
364,U. New England,1483000,0,289000,944000,0,20000,14000,9000,0,0,207000,InstitutionalFunds,Maine,Private,No,No,2017
329,U. New England,439000,0,4000,395000,0,0,0,0,0,0,40000,Nonprofit,Maine,Private,No,No,2017
467,U. New England,53000,0,0,53000,0,0,0,0,0,0,0,StateLocalGov,Maine,Private,No,No,2017
395,"Arkansas State U., Jonesboro",6000,0,0,6000,0,0,0,0,0,0,0,AllOther,Arkansas,Public,No,No,2017
317,"Arkansas State U., Jonesboro",281000,0,0,28000,0,50000,0,0,0,203000,0,Business,Arkansas,Public,No,No,2017
340,"Arkansas State U., Jonesboro",4396000,296000,0,2349000,0,902000,63000,290000,356000,140000,0,FedGovFunds,Arkansas,Public,No,No,2017
443,"Arkansas State U., Jonesboro",719000,9000,0,535000,1000,49000,21000,2000,26000,60000,16000,InstitutionalFunds,Arkansas,Public,No,No,2017
186,"Arkansas State U., Jonesboro",2550000,30000,0,2309000,1000,108000,2000,0,7000,93000,0,StateLocalGov,Arkansas,Public,No,No,2017
395,Central Washington U.,6000,0,0,0,0,0,0,0,0,6000,0,AllOther,Washington,Public,No,No,2017
381,Central Washington U.,98000,79000,0,2000,0,0,0,17000,0,0,0,Business,Washington,Public,No,No,2017
398,Central Washington U.,2297000,0,1699000,287000,48000,231000,0,22000,0,0,10000,FedGovFunds,Washington,Public,No,No,2017
495,Central Washington U.,431000,0,141000,103000,0,19000,5000,130000,0,0,33000,InstitutionalFunds,Washington,Public,No,No,2017
358,Central Washington U.,337000,0,303000,12000,0,0,0,22000,0,0,0,Nonprofit,Washington,Public,No,No,2017
302,Central Washington U.,629000,0,0,266000,0,30000,0,333000,0,0,0,StateLocalGov,Washington,Public,No,No,2017
395,Indiana State U.,6000,0,0,0,0,0,0,6000,0,0,0,AllOther,Indiana,Public,No,No,2017
344,Indiana State U.,186000,0,24000,155000,0,0,0,5000,0,2000,0,Business,Indiana,Public,No,No,2017
533,Indiana State U.,816000,0,60000,302000,0,148000,0,0,0,0,306000,FedGovFunds,Indiana,Public,No,No,2017
569,Indiana State U.,110000,0,7000,41000,0,0,0,12000,0,1000,49000,InstitutionalFunds,Indiana,Public,No,No,2017
455,Indiana State U.,105000,0,3000,102000,0,0,0,0,0,0,0,Nonprofit,Indiana,Public,No,No,2017
456,Indiana State U.,61000,0,0,38000,0,0,0,23000,0,0,0,StateLocalGov,Indiana,Public,No,No,2017
395,Tarleton State U.,6000,0,6000,0,0,0,0,0,0,0,0,AllOther,Texas,Public,No,No,2017
464,Tarleton State U.,16000,0,7000,9000,0,0,0,0,0,0,0,Business,Texas,Public,No,No,2017
338,Tarleton State U.,4602000,0,838000,3759000,0,5000,0,0,0,0,0,FedGovFunds,Texas,Public,No,No,2017
305,Tarleton State U.,3312000,0,1558000,1413000,1000,40000,0,9000,0,0,291000,InstitutionalFunds,Texas,Public,No,No,2017
511,Tarleton State U.,43000,0,0,0,2000,41000,0,0,0,0,0,Nonprofit,Texas,Public,No,No,2017
172,Tarleton State U.,2914000,0,1650000,900000,0,12000,0,0,0,0,352000,StateLocalGov,Texas,Public,No,No,2017
399,"California State U., Monterey Bay",5000,0,0,0,0,0,5000,0,0,0,0,AllOther,California,Public,No,Yes,2017
470,"California State U., Monterey Bay",13000,0,13000,0,0,0,0,0,0,0,0,Business,California,Public,No,Yes,2017
362,"California State U., Monterey Bay",3574000,49000,538000,2723000,0,0,0,264000,0,0,0,FedGovFunds,California,Public,No,Yes,2017
439,"California State U., Monterey Bay",763000,68000,75000,374000,0,0,133000,100000,0,0,13000,InstitutionalFunds,California,Public,No,Yes,2017
400,"California State U., Monterey Bay",219000,0,32000,0,0,0,163000,24000,0,0,0,Nonprofit,California,Public,No,Yes,2017
275,"California State U., Monterey Bay",823000,348000,82000,393000,0,0,0,0,0,0,0,StateLocalGov,California,Public,No,Yes,2017
399,Davidson C.,5000,0,0,0,0,0,0,0,0,0,5000,AllOther,North Carolina,Private,No,No,2017
442,Davidson C.,35000,0,0,2000,19000,14000,0,0,0,0,0,Business,North Carolina,Private,No,No,2017
493,Davidson C.,1105000,0,0,385000,0,345000,339000,30000,0,0,6000,FedGovFunds,North Carolina,Private,No,No,2017
475,Davidson C.,489000,0,0,109000,5000,130000,35000,72000,0,0,138000,InstitutionalFunds,North Carolina,Private,No,No,2017
458,Davidson C.,102000,0,0,0,7000,0,41000,50000,0,0,4000,Nonprofit,North Carolina,Private,No,No,2017
399,U. Central Arkansas,5000,0,0,0,0,5000,0,0,0,0,0,AllOther,Arkansas,Public,No,No,2017
472,U. Central Arkansas,1236000,234000,0,417000,5000,527000,0,0,0,0,53000,FedGovFunds,Arkansas,Public,No,No,2017
359,U. Central Arkansas,1578000,82000,5000,339000,46000,182000,0,60000,0,0,864000,InstitutionalFunds,Arkansas,Public,No,No,2017
476,U. Central Arkansas,77000,19000,0,15000,5000,5000,1000,8000,0,0,24000,Nonprofit,Arkansas,Public,No,No,2017
333,U. Central Arkansas,417000,1000,0,202000,0,7000,2000,0,0,0,205000,StateLocalGov,Arkansas,Public,No,No,2017
399,"U. Michigan, Flint",5000,0,0,5000,0,0,0,0,0,0,0,AllOther,Michigan,Public,No,No,2017
351,"U. Michigan, Flint",168000,0,0,0,0,0,0,0,0,25000,143000,Business,Michigan,Public,No,No,2017
617,"U. Michigan, Flint",219000,0,0,45000,0,82000,0,0,63000,29000,0,FedGovFunds,Michigan,Public,No,No,2017
406,"U. Michigan, Flint",1004000,2000,0,209000,0,53000,0,10000,17000,145000,568000,InstitutionalFunds,Michigan,Public,No,No,2017
545,"U. Michigan, Flint",19000,0,0,0,0,0,0,19000,0,0,0,Nonprofit,Michigan,Public,No,No,2017
470,"U. Michigan, Flint",51000,0,0,0,0,0,0,0,29000,0,22000,StateLocalGov,Michigan,Public,No,No,2017
403,Dickinson C.,4000,0,0,0,0,0,4000,0,0,0,0,AllOther,Pennsylvania,Private,No,No,2017
598,Dickinson C.,380000,0,18000,196000,0,78000,88000,0,0,0,0,FedGovFunds,Pennsylvania,Private,No,No,2017
499,Dickinson C.,415000,0,1000,47000,0,16000,26000,99000,52000,0,174000,InstitutionalFunds,Pennsylvania,Private,No,No,2017
482,Dickinson C.,70000,0,2000,38000,0,14000,0,16000,0,0,0,Nonprofit,Pennsylvania,Private,No,No,2017
403,Tuskegee U.,4000,0,0,0,0,0,0,0,0,0,4000,AllOther,Alabama,Private,Yes,No,2017
268,Tuskegee U.,10388000,65000,0,4648000,17000,383000,52000,24000,0,5197000,2000,FedGovFunds,Alabama,Private,Yes,No,2017
301,Tuskegee U.,3553000,15000,0,2070000,4000,89000,13000,6000,0,1335000,21000,InstitutionalFunds,Alabama,Private,Yes,No,2017
183,Tuskegee U.,2590000,0,0,2590000,0,0,0,0,0,0,0,StateLocalGov,Alabama,Private,Yes,No,2017
403,"U. Massachusetts, central office",4000,0,0,0,0,0,0,0,0,0,4000,AllOther,Massachusetts,Public,No,No,2017
436,"U. Massachusetts, central office",39000,0,0,0,0,0,0,39000,0,0,0,Business,Massachusetts,Public,No,No,2017
552,"U. Massachusetts, central office",721000,0,0,267000,0,0,0,107000,18000,10000,319000,FedGovFunds,Massachusetts,Public,No,No,2017
509,"U. Massachusetts, central office",367000,2000,0,21000,0,0,0,134000,12000,1000,197000,InstitutionalFunds,Massachusetts,Public,No,No,2017
303,"U. Massachusetts, central office",575000,0,0,71000,0,0,0,205000,0,0,299000,Nonprofit,Massachusetts,Public,No,No,2017
179,"U. Massachusetts, central office",2688000,10000,0,0,0,0,0,992000,1005000,0,681000,StateLocalGov,Massachusetts,Public,No,No,2017
406,Georgia Southern U.,3000,0,0,0,0,0,0,0,0,0,3000,AllOther,Georgia,Public (U. System Georgia Board of Regents),No,No,2017
121,Georgia Southern U.,6338000,0,86000,208000,0,86000,1000,1000,5811000,145000,0,Business,Georgia,Public (U. System Georgia Board of Regents),No,No,2017
374,Georgia Southern U.,2978000,70000,168000,1917000,24000,141000,9000,54000,146000,297000,152000,FedGovFunds,Georgia,Public (U. System Georgia Board of Regents),No,No,2017
259,Georgia Southern U.,6220000,106000,217000,2380000,95000,648000,18000,526000,509000,1015000,706000,InstitutionalFunds,Georgia,Public (U. System Georgia Board of Regents),No,No,2017
401,Georgia Southern U.,218000,0,5000,113000,9000,0,1000,1000,36000,51000,2000,Nonprofit,Georgia,Public (U. System Georgia Board of Regents),No,No,2017
352,Georgia Southern U.,327000,0,0,62000,0,7000,0,0,0,258000,0,StateLocalGov,Georgia,Public (U. System Georgia Board of Regents),No,No,2017
406,New Mexico Highlands U.,3000,0,0,1000,0,2000,0,0,0,0,0,AllOther,New Mexico,Public (New Mexico Higher Education Department),No,Yes,2017
509,New Mexico Highlands U.,1015000,0,0,293000,0,722000,0,0,0,0,0,FedGovFunds,New Mexico,Public (New Mexico Higher Education Department),No,Yes,2017
525,New Mexico Highlands U.,5000,0,0,5000,0,0,0,0,0,0,0,StateLocalGov,New Mexico,Public (New Mexico Higher Education Department),No,Yes,2017
406,U. Richmond,3000,0,0,3000,0,0,0,0,0,0,0,AllOther,Virginia,Private,No,No,2017
420,U. Richmond,1870000,0,49000,482000,114000,714000,37000,474000,0,0,0,FedGovFunds,Virginia,Private,No,No,2017
423,U. Richmond,854000,0,26000,76000,4000,133000,73000,46000,0,0,496000,InstitutionalFunds,Virginia,Private,No,No,2017
347,U. Richmond,379000,0,0,130000,0,99000,64000,8000,0,0,78000,Nonprofit,Virginia,Private,No,No,2017
409,C. New Jersey,2000,0,0,1000,0,1000,0,0,0,0,0,AllOther,New Jersey,Public,No,No,2017
424,C. New Jersey,47000,0,0,32000,0,0,0,0,0,15000,0,Business,New Jersey,Public,No,No,2017
523,C. New Jersey,929000,49000,0,368000,23000,212000,0,0,0,222000,55000,FedGovFunds,New Jersey,Public,No,No,2017
585,C. New Jersey,60000,0,0,10000,0,3000,1000,16000,0,30000,0,InstitutionalFunds,New Jersey,Public,No,No,2017
540,C. New Jersey,24000,0,0,0,0,0,0,24000,0,0,0,Nonprofit,New Jersey,Public,No,No,2017
512,C. New Jersey,16000,0,0,0,0,0,0,0,0,16000,0,StateLocalGov,New Jersey,Public,No,No,2017
409,Wichita State U.,2000,0,0,0,0,0,0,0,0,2000,0,AllOther,Kansas,Public (Kansas Board of Regents),No,No,2017
35,Wichita State U.,38166000,0,0,440000,0,0,16000,0,0,34409000,3301000,Business,Kansas,Public (Kansas Board of Regents),No,No,2017
208,Wichita State U.,21685000,0,28000,628000,230000,373000,493000,21000,0,17734000,2178000,FedGovFunds,Kansas,Public (Kansas Board of Regents),No,No,2017
214,Wichita State U.,9904000,0,54000,259000,27000,247000,147000,4000,0,2013000,7153000,InstitutionalFunds,Kansas,Public (Kansas Board of Regents),No,No,2017
376,Wichita State U.,286000,0,0,11000,21000,46000,0,0,0,57000,151000,Nonprofit,Kansas,Public (Kansas Board of Regents),No,No,2017
99,Wichita State U.,8471000,0,0,1000,0,0,0,1000,0,8229000,240000,StateLocalGov,Kansas,Public (Kansas Board of Regents),No,No,2017
411,Allegheny C.,1000,0,0,0,0,1000,0,0,0,0,0,AllOther,Pennsylvania,Private,No,No,2017
591,Allegheny C.,435000,0,19000,20000,0,248000,0,0,148000,0,0,FedGovFunds,Pennsylvania,Private,No,No,2017
519,Allegheny C.,333000,1000,2000,3000,0,36000,0,0,56000,0,235000,InstitutionalFunds,Pennsylvania,Private,No,No,2017
325,Allegheny C.,459000,0,0,1000,0,13000,0,1000,298000,0,146000,Nonprofit,Pennsylvania,Private,No,No,2017
514,Allegheny C.,15000,0,0,0,0,0,0,0,15000,0,0,StateLocalGov,Pennsylvania,Private,No,No,2017
411,Claremont Graduate U.,1000,1000,0,0,0,0,0,0,0,0,0,AllOther,California,Private,No,No,2017
392,Claremont Graduate U.,82000,2000,0,58000,0,0,0,4000,0,9000,9000,Business,California,Private,No,No,2017
284,Claremont Graduate U.,8574000,379000,0,5991000,115000,0,133000,150000,0,1650000,156000,FedGovFunds,California,Private,No,No,2017
368,Claremont Graduate U.,1420000,29000,0,987000,9000,0,18000,74000,0,152000,151000,InstitutionalFunds,California,Private,No,No,2017
281,Claremont Graduate U.,759000,16000,0,528000,5000,0,10000,39000,0,81000,80000,Nonprofit,California,Private,No,No,2017
385,Claremont Graduate U.,210000,5000,0,147000,1000,0,3000,11000,0,22000,21000,StateLocalGov,California,Private,No,No,2017
411,"CUNY, Advanced Science Research Center",1000,0,0,0,0,0,0,0,0,1000,0,AllOther,New York,Public,No,No,2017
308,"CUNY, Advanced Science Research Center",347000,0,0,0,0,9000,0,0,0,338000,0,Business,New York,Public,No,No,2017
393,"CUNY, Advanced Science Research Center",2355000,0,406000,488000,0,830000,0,0,0,631000,0,FedGovFunds,New York,Public,No,No,2017
429,"CUNY, Advanced Science Research Center",819000,0,40000,210000,0,272000,0,0,0,49000,248000,InstitutionalFunds,New York,Public,No,No,2017
545,"CUNY, Advanced Science Research Center",19000,0,0,0,0,19000,0,0,0,0,0,Nonprofit,New York,Public,No,No,2017
411,Eastern Kentucky U.,1000,0,0,0,0,0,1000,0,0,0,0,AllOther,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2017
408,Eastern Kentucky U.,63000,63000,0,0,0,0,0,0,0,0,0,Business,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2017
544,Eastern Kentucky U.,758000,0,0,482000,14000,251000,0,11000,0,0,0,FedGovFunds,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2017
521,Eastern Kentucky U.,325000,26000,11000,139000,0,50000,2000,6000,0,0,91000,InstitutionalFunds,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2017
473,Eastern Kentucky U.,80000,0,0,0,0,0,80000,0,0,0,0,Nonprofit,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2017
504,Eastern Kentucky U.,21000,0,0,17000,0,4000,0,0,0,0,0,StateLocalGov,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2017
411,Florida Gulf Coast U.,1000,0,0,0,0,0,0,0,0,0,1000,AllOther,Florida,Public (State U. Florida Board of Governors),No,No,2017
371,Florida Gulf Coast U.,113000,0,2000,20000,0,37000,0,0,0,0,54000,Business,Florida,Public (State U. Florida Board of Governors),No,No,2017
357,Florida Gulf Coast U.,3746000,21000,58000,703000,53000,0,0,59000,110000,101000,2641000,FedGovFunds,Florida,Public (State U. Florida Board of Governors),No,No,2017
559,Florida Gulf Coast U.,157000,0,29000,17000,0,0,0,15000,16000,17000,63000,InstitutionalFunds,Florida,Public (State U. Florida Board of Governors),No,No,2017
309,Florida Gulf Coast U.,515000,0,189000,36000,0,0,0,62000,1000,0,227000,Nonprofit,Florida,Public (State U. Florida Board of Governors),No,No,2017
229,Florida Gulf Coast U.,1493000,0,277000,33000,0,0,0,0,11000,21000,1151000,StateLocalGov,Florida,Public (State U. Florida Board of Governors),No,No,2017
411,Fuller Theological Seminary,1000,0,0,0,0,0,1000,0,0,0,0,AllOther,California,Private,,,2017
597,Fuller Theological Seminary,9000,0,0,0,0,0,9000,0,0,0,0,InstitutionalFunds,California,Private,,,2017
206,Fuller Theological Seminary,1679000,0,0,0,0,0,1679000,0,0,0,0,Nonprofit,California,Private,,,2017
411,Niagara U.,1000,0,0,0,0,1000,0,0,0,0,0,AllOther,New York,Private,No,No,2017
623,Niagara U.,181000,0,0,0,0,0,0,0,0,0,181000,FedGovFunds,New York,Private,No,No,2017
430,Niagara U.,816000,0,0,121000,10000,113000,5000,74000,0,0,493000,InstitutionalFunds,New York,Private,No,No,2017
383,Niagara U.,274000,0,0,0,0,30000,0,17000,0,0,227000,Nonprofit,New York,Private,No,No,2017
315,Niagara U.,551000,0,0,0,0,0,0,161000,0,0,390000,StateLocalGov,New York,Private,No,No,2017
411,Santa Clara U.,1000,0,0,0,0,0,0,1000,0,0,0,AllOther,California,Private,No,No,2017
367,Santa Clara U.,122000,0,0,0,0,0,0,0,0,122000,0,Business,California,Private,No,No,2017
453,Santa Clara U.,1468000,0,0,490000,19000,428000,78000,183000,31000,177000,62000,FedGovFunds,California,Private,No,No,2017
317,Santa Clara U.,492000,0,0,41000,4000,10000,0,21000,0,359000,57000,Nonprofit,California,Private,No,No,2017
455,Santa Clara U.,62000,0,0,62000,0,0,0,0,0,0,0,StateLocalGov,California,Private,No,No,2017
411,"Southern Illinois U., Edwardsville",1000,0,0,0,0,0,0,0,0,1000,0,AllOther,Illinois,Public,No,No,2017
196,"Southern Illinois U., Edwardsville",1899000,0,2000,1735000,0,21000,15000,0,1000,125000,0,Business,Illinois,Public,No,No,2017
354,"Southern Illinois U., Edwardsville",3805000,45000,488000,791000,137000,293000,0,45000,248000,1425000,333000,FedGovFunds,Illinois,Public,No,No,2017
211,"Southern Illinois U., Edwardsville",11158000,81000,960000,4779000,258000,562000,27000,91000,449000,2779000,1172000,InstitutionalFunds,Illinois,Public,No,No,2017
431,"Southern Illinois U., Edwardsville",152000,0,0,33000,7000,0,0,0,0,0,112000,Nonprofit,Illinois,Public,No,No,2017
341,"Southern Illinois U., Edwardsville",378000,0,46000,105000,0,0,0,6000,0,4000,217000,StateLocalGov,Illinois,Public,No,No,2017
411,"St. John's U., New York",1000,0,0,1000,0,0,0,0,0,0,0,AllOther,New York,Private,No,No,2017
311,"St. John's U., New York",304000,0,0,9000,0,108000,19000,0,0,0,168000,Business,New York,Private,No,No,2017
508,"St. John's U., New York",1020000,0,0,806000,0,118000,37000,0,0,0,59000,FedGovFunds,New York,Private,No,No,2017
390,"St. John's U., New York",1160000,11000,0,295000,0,724000,37000,0,0,0,93000,InstitutionalFunds,New York,Private,No,No,2017
493,"St. John's U., New York",57000,0,0,6000,8000,0,8000,13000,0,0,22000,Nonprofit,New York,Private,No,No,2017
411,U. Iowa,1000,0,0,1000,0,0,0,0,0,0,0,AllOther,Iowa,Public (Iowa Board of Regents),No,No,2017
55,U. Iowa,22885000,0,0,15848000,1000,365000,0,195000,0,5852000,624000,Business,Iowa,Public (Iowa Board of Regents),No,No,2017
56,U. Iowa,238842000,1750000,968000,184184000,537000,18135000,5955000,1954000,59000,23137000,2163000,FedGovFunds,Iowa,Public (Iowa Board of Regents),No,No,2017
21,U. Iowa,205447000,519000,557000,149911000,221000,2751000,1468000,3211000,2607000,21784000,22418000,InstitutionalFunds,Iowa,Public (Iowa Board of Regents),No,No,2017
74,U. Iowa,19940000,58000,23000,17231000,14000,285000,133000,155000,0,836000,1205000,Nonprofit,Iowa,Public (Iowa Board of Regents),No,No,2017
104,U. Iowa,7165000,0,886000,1077000,0,93000,0,1110000,0,2591000,1408000,StateLocalGov,Iowa,Public (Iowa Board of Regents),No,No,2017
81,Rush U.,12088000,0,0,12088000,0,0,0,0,0,0,0,Business,Illinois,Private,No,Yes,2017
147,Rush U.,51532000,0,0,48442000,0,0,3090000,0,0,0,0,FedGovFunds,Illinois,Private,No,Yes,2017
235,Rush U.,7918000,0,0,7918000,0,0,0,0,0,0,0,InstitutionalFunds,Illinois,Private,No,Yes,2017
180,Rush U.,2235000,0,0,2109000,0,0,126000,0,0,0,0,Nonprofit,Illinois,Private,No,Yes,2017
363,Rush U.,289000,0,0,289000,0,0,0,0,0,0,0,StateLocalGov,Illinois,Private,No,Yes,2017
98,Rensselaer Polytechnic Institute,9440000,610000,2000,0,0,2697000,0,0,0,5663000,468000,Business,New York,Private,No,No,2017
149,Rensselaer Polytechnic Institute,51130000,5689000,992000,2812000,1281000,5661000,1773000,178000,0,29363000,3381000,FedGovFunds,New York,Private,No,No,2017
144,Rensselaer Polytechnic Institute,34168000,2530000,654000,2403000,597000,6703000,122000,219000,0,18760000,2180000,InstitutionalFunds,New York,Private,No,No,2017
150,Rensselaer Polytechnic Institute,4150000,233000,225000,80000,0,120000,0,0,0,2555000,937000,Nonprofit,New York,Private,No,No,2017
115,Rensselaer Polytechnic Institute,5909000,0,0,153000,0,1353000,0,0,0,3105000,1298000,StateLocalGov,New York,Private,No,No,2017
105,Virginia Commonwealth U.,8666000,37000,61000,7827000,0,41000,34000,48000,0,553000,65000,Business,Virginia,Public,No,No,2017
84,Virginia Commonwealth U.,147585000,769000,771000,105606000,693000,2307000,9877000,448000,0,6870000,20244000,FedGovFunds,Virginia,Public,No,No,2017
106,Virginia Commonwealth U.,57179000,81000,196000,43098000,301000,333000,1150000,1078000,0,8301000,2641000,InstitutionalFunds,Virginia,Public,No,No,2017
82,Virginia Commonwealth U.,17043000,6000,0,8003000,51000,119000,466000,384000,0,6998000,1016000,Nonprofit,Virginia,Public,No,No,2017
127,Virginia Commonwealth U.,4991000,0,192000,2741000,3000,73000,316000,571000,0,424000,671000,StateLocalGov,Virginia,Public,No,No,2017
114,Scripps Research Institute,7997000,0,0,7997000,0,0,0,0,0,0,0,Business,California,Private,No,No,2017
49,Scripps Research Institute,250090000,0,0,250090000,0,0,0,0,0,0,0,FedGovFunds,California,Private,No,No,2017
85,Scripps Research Institute,72600000,0,0,72600000,0,0,0,0,0,0,0,InstitutionalFunds,California,Private,No,No,2017
61,Scripps Research Institute,23895000,0,0,23895000,0,0,0,0,0,0,0,Nonprofit,California,Private,No,No,2017
119,"Southern Illinois U., Carbondale",6684000,2000,53000,5531000,0,45000,3000,0,0,1050000,0,Business,Illinois,Public,No,No,2017
245,"Southern Illinois U., Carbondale",13421000,73000,333000,9570000,106000,1878000,0,90000,697000,674000,0,FedGovFunds,Illinois,Public,No,No,2017
162,"Southern Illinois U., Carbondale",26540000,424000,735000,20326000,70000,1365000,20000,946000,964000,1690000,0,InstitutionalFunds,Illinois,Public,No,No,2017
254,"Southern Illinois U., Carbondale",934000,0,8000,718000,1000,0,0,185000,9000,13000,0,Nonprofit,Illinois,Public,No,No,2017
274,"Southern Illinois U., Carbondale",837000,0,53000,703000,0,16000,0,48000,17000,0,0,StateLocalGov,Illinois,Public,No,No,2017
120,U. Houston,6474000,56000,1351000,1025000,82000,633000,310000,8000,0,2689000,320000,Business,Texas,Public,No,Yes,2017
138,U. Houston,60033000,3144000,1808000,14326000,1720000,6153000,8826000,1963000,0,19323000,2770000,FedGovFunds,Texas,Public,No,Yes,2017
111,U. Houston,49877000,1225000,911000,5326000,362000,18723000,2014000,540000,0,17413000,3363000,InstitutionalFunds,Texas,Public,No,Yes,2017
108,U. Houston,9476000,84000,496000,2692000,74000,2088000,746000,526000,0,2081000,689000,Nonprofit,Texas,Public,No,Yes,2017
27,U. Houston,43571000,933000,1558000,8262000,78000,3075000,2055000,2125000,0,12991000,12494000,StateLocalGov,Texas,Public,No,Yes,2017
126,Albert Einstein C. of Medicine,5830000,0,0,5830000,0,0,0,0,0,0,0,Business,New York,Private,No,No,2017
67,Albert Einstein C. of Medicine,188259000,0,0,188259000,0,0,0,0,0,0,0,FedGovFunds,New York,Private,No,No,2017
82,Albert Einstein C. of Medicine,76526000,0,0,76526000,0,0,0,0,0,0,0,InstitutionalFunds,New York,Private,No,No,2017
85,Albert Einstein C. of Medicine,15688000,0,0,15688000,0,0,0,0,0,0,0,Nonprofit,New York,Private,No,No,2017
164,Albert Einstein C. of Medicine,3382000,0,0,3382000,0,0,0,0,0,0,0,StateLocalGov,New York,Private,No,No,2017
129,"U. Texas, Dallas",5554000,334000,163000,89000,3000,313000,1000,152000,0,4370000,129000,Business,Texas,Public,No,No,2017
167,"U. Texas, Dallas",36097000,4261000,104000,8237000,590000,5487000,587000,1107000,34000,14837000,853000,FedGovFunds,Texas,Public,No,No,2017
139,"U. Texas, Dallas",34524000,2005000,418000,9378000,374000,4367000,194000,1037000,12000,13662000,3077000,InstitutionalFunds,Texas,Public,No,No,2017
69,"U. Texas, Dallas",20859000,687000,165000,6165000,97000,1440000,24000,1031000,0,7492000,3758000,Nonprofit,Texas,Public,No,No,2017
74,"U. Texas, Dallas",16171000,293000,70000,6615000,329000,2441000,390000,481000,77000,5227000,248000,StateLocalGov,Texas,Public,No,No,2017
155,U. Texas Medical Branch,3410000,0,0,3339000,0,0,0,0,0,71000,0,Business,Texas,Public,No,Yes,2017
104,U. Texas Medical Branch,104458000,0,0,103732000,0,0,0,0,0,726000,0,FedGovFunds,Texas,Public,No,Yes,2017
108,U. Texas Medical Branch,54266000,0,0,53734000,0,0,0,0,0,532000,0,InstitutionalFunds,Texas,Public,No,Yes,2017
78,U. Texas Medical Branch,18049000,0,0,18045000,0,0,0,0,0,4000,0,Nonprofit,Texas,Public,No,Yes,2017
129,U. Texas Medical Branch,4923000,0,0,4923000,0,0,0,0,0,0,0,StateLocalGov,Texas,Public,No,Yes,2017
158,"U. Puerto Rico, Medical Sciences Campus",3232000,0,0,3232000,0,0,0,0,0,0,0,Business,Puerto Rico,Public (U. Puerto Rico),No,Yes,2017
181,"U. Puerto Rico, Medical Sciences Campus",29869000,0,0,29869000,0,0,0,0,0,0,0,FedGovFunds,Puerto Rico,Public (U. Puerto Rico),No,Yes,2017
244,"U. Puerto Rico, Medical Sciences Campus",7132000,0,0,7132000,0,0,0,0,0,0,0,InstitutionalFunds,Puerto Rico,Public (U. Puerto Rico),No,Yes,2017
201,"U. Puerto Rico, Medical Sciences Campus",2190000,0,0,2190000,0,0,0,0,0,0,0,StateLocalGov,Puerto Rico,Public (U. Puerto Rico),No,Yes,2017
178,Cold Spring Harbor Laboratory,2437000,0,0,2437000,0,0,0,0,0,0,0,Business,New York,Private,No,No,2017
144,Cold Spring Harbor Laboratory,54260000,0,0,54260000,0,0,0,0,0,0,0,FedGovFunds,New York,Private,No,No,2017
169,Cold Spring Harbor Laboratory,23068000,0,0,23068000,0,0,0,0,0,0,0,InstitutionalFunds,New York,Private,No,No,2017
81,Cold Spring Harbor Laboratory,17197000,0,0,17197000,0,0,0,0,0,0,0,Nonprofit,New York,Private,No,No,2017
353,Cold Spring Harbor Laboratory,326000,0,0,326000,0,0,0,0,0,0,0,StateLocalGov,New York,Private,No,No,2017
182,Milwaukee School of Engineering,2270000,0,0,0,0,0,0,0,0,2270000,0,Business,Wisconsin,Private,No,No,2017
541,Milwaukee School of Engineering,775000,0,0,349000,0,86000,0,0,0,340000,0,FedGovFunds,Wisconsin,Private,No,No,2017
388,Milwaukee School of Engineering,259000,0,0,77000,0,0,0,0,0,182000,0,Nonprofit,Wisconsin,Private,No,No,2017
451,Milwaukee School of Engineering,70000,0,0,70000,0,0,0,0,0,0,0,StateLocalGov,Wisconsin,Private,No,No,2017
188,Howard U.,2052000,17000,0,1113000,0,0,120000,76000,0,640000,86000,Business,District of Columbia,Private,Yes,No,2017
171,Howard U.,34762000,514000,1101000,18735000,185000,3400000,2252000,494000,0,7212000,869000,FedGovFunds,District of Columbia,Private,Yes,No,2017
247,Howard U.,6940000,496000,0,5423000,17000,314000,68000,9000,0,413000,200000,InstitutionalFunds,District of Columbia,Private,Yes,No,2017
269,Howard U.,859000,84000,0,494000,5000,44000,27000,205000,0,0,0,Nonprofit,District of Columbia,Private,Yes,No,2017
252,Howard U.,1155000,0,0,808000,88000,50000,0,72000,0,137000,0,StateLocalGov,District of Columbia,Private,Yes,No,2017
